Category,Question,Answer
General,What is a 'kiwano' a type of,Fruit
Music,Tammi Terrel Died From A Brain Tumour 3 Years After Collapsing In The Arms Of Another Motown Singer Who Was He,Marvin Gaye
General,"Which book has the statement 'all pigs are equal, but some pigs are more equal than others'",1984
General,For whom did colonel tom parker act as manager,Elvis presley
Toys & Games,How many squares are there on a chessboard,64
General,What's the adhesion of molecules to the surfaces of solids called,Absorbtion
Geography,Why Is The Golden Gate Bridge Painted In International Orange,The Colour Helps Visibility In The Frequent Early Morning Fog
General,The wallendas were noted as,High wire performers
General,Which relative of John Travolta's made a cameo appearance in Saturday Night Fever?,His mother
General,What march did Felix Mendelssohn compose,Wedding march
General,"Who was the first person to reach the North Pole, in 1909",Robert peary
General,A belemnoid is what sort of shape in zoological terms,Dart shaped
General,In What UK Town Did The First Branch Of The Body Shop Open,Brighton
General,What is the most common plastic surgery done on US men,Breast Reduction
General,Churchill what are phalanges,Finger bones
General,Vaselina and Brillantino were alternate names which film,Grease
General,From what did julius caesar and napoleon suffer,Epilepsy
General,Plate tectonics theory contends there are how many major plates,Seven
Music,"Who Had A 1983 Hit With ""Si Si Je Suis Un Rock Star""",Bill Wyman
General,In the Bible who came from Gath,Goliath
General,What toe is the foot reflexology pressure point for the head,Big toe
History & Holidays,What type of animal is a caribou?,A Reindeer
General,In Greek mythology the place of ideal happiness,Elysium
General,Gwizador in Poland is who in English,Santa Claus
General,"Who sang the song ""I'll Be Missing You""?",Puff Daddy
General,The lowest elevation in the usa is,Death valley
Geography,"The city name ________________ is derived from an Algonquin word meaning ""traders.""",Ottawa
General,Alma Mater means what,Bountiful mother
Entertainment,Who said 'you'd be surprised how much it costs to look this cheap'?,Dolly Parton
General,"What shouts 'tip me over,pour me out' in a children's song",Little teapot
General,"Which character did Berlioz, Gounod and Liszt all compose music about",Faust
General,What is the study of weather technically called?,Meteorology
General,Who was & romedas mother,Cassiopeia
Music,Who Was The Lead Vocalist With Haircut 100,Nick Hayward
Sports & Leisure,In What Context Did Thierry Replace Ian Who Had Previously Replaced Cliff,Leading Top Scorer for Arsenal
Food & Drink,How many standard bottles of wine are in a Methuselah,Eight
General,Country singer vince ____,Gill
Geography,What country is Phnom Penh the capital of?,Cambodia
Sports & Leisure,What Is The First Event In Three Day Eventing,Dressage
General,What is the Jack of Hearts holding up in a deck of cards,Leaf
General,Who played the title role in the 'mad max' series of films,Mel gibson
Music,Who Was The Reggae Legend Who Died From Cancer In Miami Florida On 11th May 1981,Bob Marley
General,With which instrument is jazz musician Charlie Mingus principally associated,Bass
General,Mary Donaldson was the first woman to hold which post,Lord mayor of london
General,What boy scout merit badge is earned most often,First Aid
People & Places,What Radio Program Did Roy Plomley Dream Up,Desert Island Discs
General,"The creature Hirudo medicinalis was used extensively by doctors, what is it",Leech
Music,Pink Floyd Featured A Chorus Of Pupils From A North London School For Which Of Their Hits,Another Brick In The Wall
Science & Nature,Which Model Ferrari Has A Name Which Means Redhead,Tetarossa
General,"Which Brand Name (Often Seen In The High Street) Get's It's Name From the Finnish For ""Wild Grass""",Timotei
General,Which disease is now known as Hansen's disease,Leprosy
General,"Brilliant red or black mineral, with diamondlike luster, composed of titanium oxide, tio2",Rutile
General,What Sport Very Popular In The USA Was Created In 1973 After A Discussion By A Group Of Locals In A Pub In Wisborough Green Near Horsham In West Sussex,Lawn Mower Racing
General,"What do Julius Caeser, Ghandi and Trotsky have in common",All assassinated
General,What is the US slang term for formal male evening dress,Monkey Suit
General,Who is gaylord the buzzard's buddy,Broomhilda
General,Who played the alien in Predator jumping and climbing scenes,Jean-Claude Van Damme
General,Victoria is the only Australian state without what,Letter S in name
Entertainment,"Name the band - songs include ""Heart of Glass, The Tide is High""?",Blondie
General,Ivan Maugher won six world titles at what sport,Speedway
Music,"In Which Movie Did Madonna Play The Character ""Gloria Tatlock""",Shanghai Surprise
General,What Bird Lays The Smallest Eggs,Hummingbird
General,What was the first film musical based on a Shakespeare play,The boys from Syracuse C of Error
General,What was Dr. Zhivago's first name,Yuri
General,The Hawaiian alphabet has how many letters,12
Music,Raymond O Sullivan Changed His Name To Become Who,Gilbert O Sullivan
General,Barrel size - what wine barrel size contains 10 gallons,Anker
General,In 1961 which Henry Mancini record won Grammy record of year,Moon River
Music,Name The Album for Kula Shaker Titled After A Single Letter From The Alphabet,K
General,"Who recorded the album ""business as usual"" in 1983",Men at work
General,How many days did the first successful trans-atlantic balloon flight take,6 days
General,In 1974 Somalia created its first ever what,Written language
History & Holidays,Who Released The 70's Album Entitled Madman Across the Water,Elton John
General,The teeth used for biting or cutting are known as _______,Incisors
General,What can't roosters do if they can't fully extend their necks,Crow
Tech & Video Games,What is the reason behind the layout of the Qwerty keyboard ?,To slow down typing rates
General,Which tyre company withdrew from formula 1 at the end of 1986,Pirelli
General,What Is The First Name Of Inspector Morse In The Tv Series,Endeavour
General,"According to all four Gospels the precursor of Jesus Christ, born in Judea, the son of the priest Zacharias and Elisabeth, cousin of Mary, the mother of Jesus?",John the baptist
Entertainment,Who played Dr. Frankenfurter in the pop-culture film 'The Rocky Horror Picture Show?,Tim Curry
General,The first spaghetti western starring Clint Eastwood was made in what year,1964
General,"What animal may be stag, rhinoceros or dung",Beetle
General,What links Steve McQueen Ian Botham Spike Milligan,All called Terence
General,What was the name of the show that featured Sniglets?,Not Necessarily The News
General,Baseball: The San Diego _______?,Padres
General,Where on a woman is her J spot,Nape of the neck
History & Holidays,Who discovered the Grand Canyon?,Francisco Coronado
General,What is another name for the sport of logrolling,Birling
General,Inches who at buckingham palace wears bearskins,Guards
General,In what modern country is mount Ararat,Turkey
General,What kind of birds are most commonly raced,Pigeons
General,Johan Schober the first president of what organisation in 1923,Interpol
General,How many spots are on a dice,21
Geography,Name the sea between Asia Minor and Greece.,Aegean
General,Florida is often referred to as 'The Sunshine State' what place in Australia also has the same nickname,Queensland
General,What is the voice box,Larynx
General,What is a nidologist interested in,Birds nests
General,Which Real Island Famed In Fiction Is Some 25 Miles South Of Elba,Monte Cristo
General,"What film gave the following hype ""brando sings!""?",Guys & dolls
General,Inspecting Galvaynes Groove tells you what,Age of horse – it’s on its teeth
General,"ON Tv In 1987 ""Marion Chanter"" Became The First And Only Female To Do What",Win The Krypton Factor
General,How many stitches are on a regulation baseball,108
General,The port of Piraeus serves which European capital,Athens
General,At the end of TVs MASH what character stayed in Korea,Corp Maxwell Klinger
General,What is the name for 100th of a second,A Jiffy
General,What was the first US TV series broadcast in the USSR,Daktari
General,What appear when the sun activates your melanocytes,Freckles
Science & Nature,Ducks will lay eggs only in the __________,Early morning
Geography,The highest temperature ever recorded on Earth was in which country?,Libya
General,Sophophobia is the fear of,Learning
Science & Nature,"When thirsty, a camel can swig down 25 gallons of water in less than __________",Three minutes
History & Holidays,Which artificial fiber was invented in 1938 ?,Nylon
General,What was St. Petersburg called immediately before its name was changed to Leningrad,Petrograd
General,Which character did David Jason play in the T.V. series Porridge,Blanco
General,"""Vissi D'Arte"" is a famous aria from a Puccini opera in which the eponymous heroine is an opera singer. Name the opera",Tosca
General,Around which French town is the champagne industry located,Epernay
Food & Drink,What type of sweets was American President Ronald Reagan known for having on his desk?,Jelly-beans
Entertainment,What is the drummer's name in 'The Muppet Show'?,Animal
